   k      z      dz     pres   presi   Tabs     tp     tpl      qt      Qc     Qi    REL
 397  2387.50    5.00  774.59  774.83  281.66  303.00  303.00  4.3793  0.0000  0.0000   48.42
 396  2382.50    5.00  775.06  775.30  281.69  302.98  302.98  4.3934  0.0000  0.0000   48.51
 395  2377.50    5.00  775.53  775.77  281.72  302.96  302.96  4.4074  0.0000  0.0000   48.59
 394  2372.50    5.00  776.00  776.24  281.75  302.94  302.94  4.4214  0.0000  0.0000   48.68
 393  2367.50    5.00  776.47  776.71  281.78  302.92  302.92  4.4354  0.0000  0.0000   48.76
 392  2362.50    5.00  776.94  777.18  281.81  302.90  302.90  4.4495  0.0000  0.0000   48.85
 391  2357.50    5.00  777.41  777.65  281.84  302.87  302.87  4.4635  0.0000  0.0000   48.94
 390  2352.50    5.00  777.88  778.12  281.87  302.85  302.85  4.4775  0.0000  0.0000   49.02
 389  2347.50    5.00  778.35  778.59  281.90  302.83  302.83  4.4915  0.0000  0.0000   49.11
 388  2342.50    5.00  778.82  779.06  281.93  302.81  302.81  4.5055  0.0000  0.0000   49.19
 387  2337.50    5.00  779.29  779.53  281.96  302.79  302.79  4.5195  0.0000  0.0000   49.28
 386  2332.50    5.00  779.76  780.00  281.99  302.77  302.77  4.5335  0.0000  0.0000   49.36
 385  2327.50    5.00  780.24  780.47  282.01  302.75  302.75  4.5475  0.0000  0.0000   49.45
 384  2322.50    5.00  780.71  780.94  282.04  302.73  302.73  4.5615  0.0000  0.0000   49.53
 383  2317.50    5.00  781.18  781.42  282.07  302.70  302.70  4.5755  0.0000  0.0000   49.62
 382  2312.50    5.00  781.65  781.89  282.10  302.68  302.68  4.5896  0.0000  0.0000   49.70
 381  2307.50    5.00  782.12  782.36  282.13  302.66  302.66  4.6036  0.0000  0.0000   49.78
 380  2302.50    5.00  782.60  782.83  282.16  302.64  302.64  4.6176  0.0000  0.0000   49.87
 379  2297.50    5.00  783.07  783.31  282.19  302.62  302.62  4.6316  0.0000  0.0000   49.95
 378  2292.50    5.00  783.54  783.78  282.22  302.60  302.60  4.6456  0.0000  0.0000   50.03
 377  2287.50    5.00  784.02  784.25  282.25  302.58  302.58  4.6596  0.0000  0.0000   50.11
 376  2282.50    5.00  784.49  784.73  282.27  302.56  302.56  4.6736  0.0000  0.0000   50.20
 375  2277.50    5.00  784.96  785.20  282.30  302.53  302.53  4.6876  0.0000  0.0000   50.28
 374  2272.50    5.00  785.44  785.67  282.33  302.51  302.51  4.7016  0.0000  0.0000   50.36
 373  2267.50    5.00  785.91  786.15  282.36  302.49  302.49  4.7156  0.0000  0.0000   50.44
 372  2262.50    5.00  786.39  786.62  282.39  302.47  302.47  4.7297  0.0000  0.0000   50.52
 371  2257.50    5.00  786.86  787.10  282.42  302.45  302.45  4.7437  0.0000  0.0000   50.60
 370  2252.50    5.00  787.34  787.57  282.45  302.43  302.43  4.7577  0.0000  0.0000   50.68
 369  2247.50    5.00  787.81  788.05  282.48  302.41  302.41  4.7717  0.0000  0.0000   50.76
 368  2242.50    5.00  788.29  788.52  282.51  302.39  302.39  4.7857  0.0000  0.0000   50.84
 367  2237.50    5.00  788.76  789.00  282.53  302.36  302.36  4.7997  0.0000  0.0000   50.92
 366  2232.50    5.00  789.24  789.48  282.56  302.34  302.34  4.8137  0.0000  0.0000   51.00
 365  2227.50    5.00  789.71  789.95  282.59  302.32  302.32  4.8277  0.0000  0.0000   51.08
 364  2222.50    5.00  790.19  790.43  282.62  302.30  302.30  4.8417  0.0000  0.0000   51.16
 363  2217.50    5.00  790.67  790.90  282.65  302.28  302.28  4.8557  0.0000  0.0000   51.24
 362  2212.50    5.00  791.14  791.38  282.68  302.26  302.26  4.8698  0.0000  0.0000   51.32
 361  2207.50    5.00  791.62  791.86  282.71  302.24  302.24  4.8838  0.0000  0.0000   51.39
 360  2202.50    5.00  792.10  792.34  282.74  302.22  302.22  4.8978  0.0000  0.0000   51.47
 359  2197.50    5.00  792.57  792.81  282.77  302.19  302.19  4.9118  0.0000  0.0000   51.55
 358  2192.50    5.00  793.05  793.29  282.79  302.17  302.17  4.9258  0.0000  0.0000   51.62
 357  2187.50    5.00  793.53  793.77  282.82  302.15  302.15  4.9398  0.0000  0.0000   51.70
 356  2182.50    5.00  794.01  794.25  282.85  302.13  302.13  4.9538  0.0000  0.0000   51.78
 355  2177.50    5.00  794.49  794.73  282.88  302.11  302.11  4.9678  0.0000  0.0000   51.85
 354  2172.50    5.00  794.97  795.21  282.91  302.09  302.09  4.9818  0.0000  0.0000   51.93
 353  2167.50    5.00  795.44  795.68  282.94  302.07  302.07  4.9958  0.0000  0.0000   52.01
 352  2162.50    5.00  795.92  796.16  282.97  302.05  302.05  5.0099  0.0000  0.0000   52.08
 351  2157.50    5.00  796.40  796.64  283.00  302.02  302.02  5.0239  0.0000  0.0000   52.16
 350  2152.50    5.00  796.88  797.12  283.02  302.00  302.00  5.0379  0.0000  0.0000   52.23
